,constituency,eligible_voters,line,num_candidates,state,valid_votes,votes_cast,candidate,party,percent,votes
1,Falam-1,12531.0,916.0,3.0,Chin,9511.0,9928.0,Im Htawng,NLD,20,1915
2,Falam-1,12531.0,916.0,3.0,Chin,9511.0,9928.0,Wong Htawng,NUP,15,1459
0,Falam-2,12501.0,924.0,3.0,Chin,9454.0,9899.0,Zahle Htan,CNLD,50,4753
1,Falam-2,12501.0,924.0,3.0,Chin,9454.0,9899.0,No Zam,NLD,30,2866
2,Falam-2,12501.0,924.0,3.0,Chin,9454.0,9899.0,Kam Liam Bwe,NUP,19,1835
0,Wetlet-1,54571.0,932.0,5.0,Sagaing,37858.0,41951.0,Tun Myaing,NLD,63,23986
1,Wetlet-1,54571.0,932.0,5.0,Sagaing,37858.0,41951.0,Thein Ya,PUO,27,10276
0,Wetlet-2,55931.0,937.0,5.0,Sagaing,39562.0,43864.0,Daw Khin San Hlaing,NLD,75,29805
1,Wetlet-2,55931.0,937.0,5.0,Sagaing,39562.0,43864.0,Khin Maung Kyaw,NUP,20,7941
0,Kyunlha,32647.0,942.0,4.0,Sagaing,24012.0,26627.0,Kyee Maung,NLD,74,17729
1,Kyunlha,32647.0,942.0,4.0,Sagaing,24012.0,26627.0,Tin Nyunt,PUO,21,5065
0,Ye-U-1,32692.0,947.0,4.0,Sagaing,22605.0,25037.0,Htay Maung,NLD,71,16109
1,Ye-U-1,32692.0,947.0,4.0,Sagaing,22605.0,25037.0,Mya Maung,PUO,24,5472
0,Ye-U-2,32752.0,952.0,3.0,Sagaing,24540.0,26241.0,Win Ko,NLD,66,16304
1,Ye-U-2,32752.0,952.0,3.0,Sagaing,24540.0,26241.0,Taik Kyee Aung,NUP,31,7499
0,Tabayin-1,33332.0,956.0,5.0,Sagaing,23819.0,25118.0,Bo Moung,NLD,77,18454
1,Tabayin-1,33332.0,956.0,5.0,Sagaing,23819.0,25118.0,Dr. Tin Win,NUP,18,4248
0,Tabayin-2,36528.0,960.0,5.0,Sagaing,24746.0,27099.0,Win Myint Aung,NLD,71,17448
1,Tabayin-2,36528.0,960.0,5.0,Sagaing,24746.0,27099.0,Capt. Aung Khin,NUP,19,4729
0,Hakha,19528.0,964.0,5.0,Chin,13907.0,14995.0,Liam Ok,Independent,37,5149
1,Hakha,19528.0,964.0,5.0,Chin,13907.0,14995.0,Vam Ku,NUP,27,3690
